A Plague Tale: Innocence	Teenage girl Amicia escorts her little brother Hugo through Inquisition-era medieval France, hiding from soldiers and swarms of rats that devour anything not in torchlight. Grim, sibling-focused, stealth with a sling.
A Plague Tale: Requiem	Sequel: Amicia and Hugo flee south to a sunlit Mediterranean island, still hunted, still drowning in rat tides. Prettier and sadder than the first.
A Way Out	Strictly two-player co-op with a permanent split screen. Two convicts, Leo and Vincent, break out of prison together and go on the run. Cannot be played alone.
Age of Mythology: Extended Edition	Classic RTS where you gather resources, build a town and summon Greek, Egyptian and Norse gods and mythical units. Top-down base builder, not a character game.
Age of Mythology: Retold	Modern remake of the Greek/Egyptian/Norse RTS. Base building, worker units, god powers called down from above.
Alien vs. Predator	Arcade brawler pitting Colonial Marines against xenomorphs and Predators. Sci-fi horror action, side-scrolling beat em up.
Aliens versus Predator	First person shooter with three separate campaigns: marine, alien and predator, each with different vision modes. Dark corridors, motion tracker beeping.
Alundra	Top-down action RPG in the Zelda mould where a dream-walking boy enters people's nightmares to solve dungeon puzzles. Notoriously tough puzzle design.
Amnesia: Collection	First person survival horror with no weapons. You hide in wardrobes from monsters, manage lamp oil and sanity in a dark castle.
Among Us	Online social deduction on a cartoon spaceship. Little bean-shaped crewmates in coloured spacesuits do maintenance tasks while one or more impostors secretly murder them and lie in meetings. Massive 2020 meme game.
Baba Is You	Minimalist puzzle game whose rules are written on screen as pushable word blocks. Shove the words to rewrite the laws of the level. Extremely clever, very hard.
Backrooms: Escape Together	Co-op horror set in endless yellow wallpapered office liminal spaces. Find exits, avoid entities, buzzing fluorescent lights.
Banjo-Kazooie	Nintendo 64 3D collectathon platformer starring a honey bear who carries a red-crested bird in his backpack. Jigsaw pieces, musical notes, cartoon humour, witch villain Gruntilda.
Batman: Arkham City	Open world superhero brawler in a walled-off prison district of Gotham. Freeflow melee combat, cape gliding, detective vision.
Battlefield: Bad Company	Military first person shooter with a comedic squad and heavily destructible buildings. Modern war setting.
BioShock	First person shooter set in Rapture, a collapsing 1960s art deco city on the ocean floor built by an objectivist millionaire. Plasmid superpowers, Big Daddy diving suits guarding creepy Little Sister girls who harvest ADAM. Would you kindly.
Bloodborne	FromSoftware action RPG in Yharnam, a gothic Victorian city of gaslight, top hats and cobblestones overrun by blood-plagued beasts. Trick weapons, aggressive dodging, cosmic Lovecraftian turn late on. Brutally hard.
Braid	Puzzle platformer with painterly watercolour art where you rewind time to solve each level. Melancholy story about a man searching for a princess.
Call of Duty 2: Big Red One	Second World War first person shooter following an American infantry division through Africa and Europe.
Celeste	Precision pixel-art platformer about Madeline, a young woman climbing Celeste Mountain while confronting her anxiety and depression, personified as a dark double. Punishing but kind, instant respawns, chiptune-adjacent piano soundtrack.
Chase H.Q.	Arcade driving game where you ram criminal vehicles off the road against a timer.
Chrono Trigger	Super Nintendo JRPG about a group of friends travelling between prehistory, the middle ages, the present and a ruined future to prevent an apocalypse. Akira Toriyama art.
